Wavelength,f
410.5430464, 46304.639759223333 
310.7368421,182.1433824
279.2432432, 1110.933053938545 
268.9457701, 3632.381866598263 
264.358209, 6921.056081038000 
252,213.4952854
239.3513514, 2834.054884152050 
226.6617916, 1716.638767434421 
214.8769497, 1173.212115774775 
205.9534884, 28805.761172233200 
204.5940594, 2066.086151189493 
201.9283388, 1807.856733591020 
195.8672986, 4388.408039950150 
192.2232558,550.9399116
191.0385208,541.8506541
190.4516129, 3809.226050332058 
188.7123288, 2143.294962700635 
186.4421053, 10550.069130757289 
184.5,822.8923068
183.408284, 1115.847238375620 
