Wavelength,Absorbance
250,0.1509
251,0.1491
252,0.1473
253,0.1456
254,0.1442
255,0.1429
256,0.1416
257,0.1398
258,0.1379
259,0.1363
260,0.1344
261,0.1326
262,0.1311
263,0.13
264,0.1291
265,0.1287
266,0.1287
267,0.1287
268,0.1292
269,0.1297
270,0.1307
271,0.132
272,0.1333
273,0.1341
274,0.1341
275,0.1338
276,0.1319
277,0.1292
278,0.126
279,0.1223
280,0.1182
281,0.1146
282,0.111
283,0.1078
284,0.1051
285,0.1025
286,0.0998
287,0.0975
288,0.0954
289,0.0933
290,0.0913
291,0.0892
292,0.0874
293,0.0852
294,0.0834
295,0.0815
296,0.0799
297,0.0783
298,0.0769
299,0.0758
300,0.0745
301,0.0736
302,0.0727
303,0.072
304,0.071
305,0.07
306,0.0694
307,0.069
308,0.0684
309,0.0682
310,0.0679
311,0.0678
312,0.0676
313,0.0674
314,0.0674
315,0.0674
316,0.0671
317,0.0672
318,0.0674
319,0.0676
320,0.0678
321,0.0681
322,0.0684
323,0.069
324,0.0693
325,0.0696
326,0.0697
327,0.0696
328,0.0694
329,0.069
330,0.0684
331,0.0677
332,0.0668
333,0.0662
334,0.0655
335,0.0649
336,0.0646
337,0.0642
338,0.064
339,0.0638
340,0.0635
341,0.0632
342,0.0628
343,0.0628
344,0.063
345,0.0628
346,0.0627
347,0.0628
348,0.0627
349,0.0627
350,0.0627
351,0.0628
352,0.0627
353,0.0627
354,0.0629
355,0.0629
356,0.0629
357,0.063
358,0.0627
359,0.0625
360,0.0622
361,0.0618
362,0.0617
363,0.0615
364,0.0614
365,0.0611
366,0.0608
367,0.0608
368,0.0605
369,0.0604
370,0.0604
371,0.0603
372,0.06
373,0.0601
374,0.0602
375,0.0605
376,0.0607
377,0.061
378,0.0611
379,0.0614
380,0.0615
381,0.0615
382,0.0615
383,0.0617
384,0.062
385,0.062
386,0.0621
387,0.0622
388,0.0625
389,0.0626
390,0.0627
391,0.0628
392,0.0629
393,0.0631
394,0.0634
395,0.0634
396,0.0638
397,0.0639
398,0.064
399,0.0641
400,0.0644
401,0.0647
402,0.0649
403,0.0653
404,0.0656
405,0.066
406,0.0662
407,0.0664
408,0.0665
409,0.0668
410,0.067
411,0.0671
412,0.0671
413,0.0671
414,0.0671
415,0.067
416,0.0668
417,0.0668
418,0.0663
419,0.066
420,0.0655
421,0.0648
422,0.0642
423,0.0634
424,0.0628
425,0.0622
426,0.0615
427,0.0608
428,0.0603
429,0.0598
430,0.0593
431,0.059
432,0.0588
433,0.0587
434,0.0585
435,0.0586
436,0.0586
437,0.0588
438,0.059
439,0.0591
440,0.0593
441,0.0594
442,0.0595
443,0.0596
444,0.0597
445,0.0595
446,0.0593
447,0.0591
448,0.0587
449,0.0583
450,0.0578
451,0.0572
452,0.0566
453,0.0558
454,0.0551
455,0.0544
456,0.0536
457,0.053
458,0.0524
459,0.0516
460,0.0511
461,0.0507
462,0.0502
463,0.0496
464,0.0494
465,0.0491
466,0.0487
467,0.0485
468,0.0484
469,0.0483
470,0.0481
471,0.0481
472,0.0482
473,0.0481
474,0.048
475,0.0481
476,0.048
477,0.048
478,0.0479
479,0.0479
480,0.0478
481,0.0477
482,0.0475
483,0.0474
484,0.0472
485,0.047
486,0.0469
487,0.0467
488,0.0465
489,0.0464
490,0.0463
491,0.046
492,0.0458
493,0.0456
494,0.0455
495,0.0453
496,0.0452
497,0.0451
498,0.0451
499,0.0451
500,0.045
501,0.045
502,0.045
503,0.0451
504,0.045
505,0.045
506,0.0449
507,0.0451
508,0.0451
509,0.0451
510,0.0453
511,0.0454
512,0.0454
513,0.0456
514,0.0457
515,0.0458
516,0.046
517,0.0462
518,0.0463
519,0.0466
520,0.0468
521,0.047
522,0.0472
523,0.0474
524,0.0477
525,0.048
526,0.0482
527,0.0484
528,0.0487
529,0.049
530,0.0493
531,0.0496
532,0.0499
533,0.0502
534,0.0505
535,0.0508
536,0.0509
537,0.0508
538,0.0512
539,0.0517
540,0.052
541,0.0524
542,0.0529
543,0.0533
544,0.0537
545,0.0541
546,0.0545
547,0.0549
548,0.0552
549,0.0556
550,0.056
551,0.0564
552,0.0566
553,0.0572
554,0.0576
555,0.058
556,0.0585
557,0.0589
558,0.0593
559,0.0597
560,0.0604
561,0.0611
562,0.062
563,0.0629
564,0.0639
565,0.0648
566,0.0658
567,0.0668
568,0.0679
569,0.0691
570,0.0704
571,0.0718
572,0.0733
573,0.0747
574,0.0763
575,0.078
576,0.0797
577,0.0814
578,0.0831
579,0.085
580,0.087
581,0.089
582,0.0912
583,0.0931
584,0.0954
585,0.0977
586,0.0999
587,0.1022
588,0.1044
589,0.1067
590,0.1089
591,0.1111
592,0.113
593,0.1148
594,0.1166
595,0.1181
596,0.1195
597,0.1208
598,0.122
599,0.1231
600,0.1243
601,0.1254
602,0.1267
603,0.1279
604,0.1292
605,0.1305
606,0.1319
607,0.1335
